age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,cons.price.idx,cons.conf.idx,euribor3m,pdays_contacted,y
56,retired,married,basic.4y,no,no,no,cellular,nov,fri,2,-1,1,failure,93.2,-42.0,4.021,0,0
44,blue-collar,married,high.school,no,no,no,telephone,may,wed,4,-1,0,nonexistent,93.994,-36.4,4.858,0,0
40,technician,married,professional.course,no,yes,no,telephone,oct,tue,1,-1,0,nonexistent,94.601,-49.5,0.956,0,0
29,admin.,single,high.school,no,yes,no,cellular,may,fri,2,-1,1,failure,92.893,-46.2,1.25,0,1
25,services,single,high.school,no,yes,no,cellular,jun,thu,1,-1,0,nonexistent,92.963,-40.8,1.26,0,1
44,entrepreneur,married,basic.6y,unknown,no,no,cellular,jul,mon,3,-1,0,nonexistent,93.918,-42.7,4.96,0,1
50,admin.,divorced,university.degree,no,no,no,cellular,aug,tue,1,-1,0,nonexistent,93.444,-36.1,4.965,0,0
38,entrepreneur,divorced,university.degree,unknown,yes,no,telephone,may,fri,2,-1,0,nonexistent,93.994,-36.4,4.857,0,0
43,blue-collar,married,basic.9y,no,no,yes,cellular,apr,fri,3,-1,1,failure,93.075,-47.1,1.405,0,0
22,blue-collar,single,basic.9y,no,yes,no,cellular,may,thu,2,-1,0,nonexistent,92.893,-46.2,1.266,0,0
50,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,2,-1,0,nonexistent,93.994,-36.4,4.857,0,0
44,blue-collar,married,basic.4y,no,no,no,telephone,may,wed,2,-1,0,nonexistent,93.994,-36.4,4.856,0,0
29,services,married,high.school,unknown,no,no,telephone,may,wed,2,-1,0,nonexistent,93.994,-36.4,4.857,0,0
35,services,married,high.school,no,unknown,unknown,cellular,may,fri,1,-1,0,nonexistent,92.893,-46.2,1.313,0,0
40,admin.,married,university.degree,no,no,no,cellular,aug,mon,12,-1,0,nonexistent,93.444,-36.1,4.965,0,0
53,admin.,single,high.school,no,yes,yes,telephone,apr,wed,3,-1,0,nonexistent,93.075,-47.1,1.372,0,0
45,unemployed,married,high.school,unknown,no,no,telephone,may,fri,2,-1,0,nonexistent,93.994,-36.4,4.855,0,0
37,admin.,divorced,high.school,no,yes,no,cellular,jul,wed,1,-1,0,nonexistent,93.918,-42.7,4.963,0,0
46,self-employed,divorced,university.degree,no,yes,yes,telephone,may,thu,2,-1,0,nonexistent,93.994,-36.4,4.86,0,0
29,student,single,university.degree,no,yes,no,cellular,may,mon,1,-1,1,failure,93.876,-40.0,0.685,0,1
46,housemaid,divorced,basic.4y,unknown,yes,no,cellular,jul,tue,1,-1,0,nonexistent,93.918,-42.7,4.961,0,0
29,entrepreneur,married,professional.course,no,yes,no,cellular,jul,thu,1,-1,0,nonexistent,93.918,-42.7,4.963,0,0
34,technician,married,professional.course,no,yes,no,cellular,jul,wed,5,-1,0,nonexistent,93.918,-42.7,4.962,0,0
33,blue-collar,married,basic.9y,unknown,no,yes,cellular,may,tue,2,-1,1,failure,92.893,-46.2,1.291,0,0
58,unemployed,married,basic.9y,no,no,no,telephone,jun,mon,2,-1,0,nonexistent,94.465,-41.8,4.865,0,0
45,management,divorced,university.degree,no,no,no,telephone,jun,mon,4,-1,0,nonexistent,94.465,-41.8,4.865,0,0
29,technician,married,university.degree,no,no,no,cellular,aug,wed,1,-1,0,nonexistent,93.444,-36.1,4.965,0,0
46,management,married,university.degree,no,yes,no,cellular,may,thu,2,-1,0,nonexistent,92.893,-46.2,1.327,0,0
37,blue-collar,single,basic.6y,unknown,yes,no,telephone,may,thu,1,-1,0,nonexistent,93.994,-36.4,4.855,0,0
41,technician,divorced,university.degree,no,yes,no,cellular,aug,fri,1,-1,0,nonexistent,93.444,-36.1,4.966,0,0
36,self-employed,single,professional.course,no,yes,no,telephone,may,mon,4,-1,0,nonexistent,93.994,-36.4,4.857,0,0
38,self-employed,single,university.degree,no,no,yes,telephone,may,wed,2,-1,0,nonexistent,93.994,-36.4,4.859,0,0
38,management,married,university.degree,no,no,no,telephone,may,mon,2,-1,0,nonexistent,93.994,-36.4,4.857,0,0
40,admin.,married,professional.course,unknown,no,no,cellular,jul,thu,2,-1,0,nonexistent,93.918,-42.7,4.968,0,0
38,admin.,single,university.degree,no,yes,no,telephone,jun,tue,1,-1,0,nonexistent,94.465,-41.8,4.864,0,0
32,admin.,married,university.degree,no,yes,no,cellular,oct,wed,2,6,1,success,92.431,-26.9,0.735,1,1
33,admin.,married,university.degree,unknown,yes,yes,cellular,aug,thu,2,-1,0,nonexistent,93.444,-36.1,4.968,0,0
34,unknown,married,basic.4y,no,no,no,telephone,apr,mon,3,-1,0,nonexistent,93.075,-47.1,1.392,0,0
41,unknown,married,unknown,no,yes,no,cellular,aug,tue,3,-1,0,nonexistent,93.444,-36.1,4.968,0,0
37,services,married,basic.6y,no,yes,no,cellular,may,tue,1,-1,0,nonexistent,92.893,-46.2,1.344,0,0
33,blue-collar,married,high.school,no,yes,no,telephone,may,wed,4,-1,0,nonexistent,93.994,-36.4,4.859,0,0
73,retired,married,basic.9y,no,no,no,cellular,aug,fri,1,15,1,success,92.201,-31.4,0.881,1,0
42,blue-collar,married,basic.4y,no,no,no,telephone,may,wed,1,-1,0,nonexistent,93.994,-36.4,4.859,0,0
35,technician,single,university.degree,no,no,no,cellular,aug,thu,2,-1,0,nonexistent,93.444,-36.1,4.968,0,0
37,management,divorced,unknown,no,yes,no,cellular,may,tue,2,-1,1,failure,92.893,-46.2,1.344,0,0
28,services,single,basic.9y,unknown,yes,no,telephone,may,fri,3,-1,0,nonexistent,92.893,-46.2,1.25,0,0
30,admin.,married,unknown,no,no,no,cellular,jul,mon,3,-1,0,nonexistent,93.918,-42.7,4.962,0,0
40,admin.,married,university.degree,no,yes,no,cellular,aug,mon,4,-1,0,nonexistent,93.444,-36.1,4.965,0,0
51,blue-collar,divorced,basic.9y,no,no,no,telephone,may,thu,2,-1,0,nonexistent,93.994,-36.4,4.855,0,0
27,admin.,married,basic.9y,unknown,yes,yes,cellular,jul,mon,3,-1,0,nonexistent,93.918,-42.7,4.962,0,0
51,services,married,high.school,no,yes,no,telephone,may,wed,1,-1,0,nonexistent,93.994,-36.4,4.859,0,0
33,admin.,divorced,university.degree,no,yes,no,cellular,aug,mon,1,-1,0,nonexistent,93.444,-36.1,4.97,0,0
35,unknown,married,basic.9y,no,no,no,telephone,may,wed,1,-1,0,nonexistent,93.994,-36.4,4.859,0,0
28,admin.,single,university.degree,no,yes,no,cellular,may,fri,4,-1,1,failure,92.893,-46.2,1.25,0,0
42,technician,married,professional.course,no,yes,no,cellular,aug,tue,3,-1,0,nonexistent,93.444,-36.1,4.968,0,1
69,technician,married,professional.course,no,yes,no,cellular,oct,thu,1,-1,0,nonexistent,92.431,-26.9,0.741,0,0
52,admin.,married,university.degree,no,yes,no,cellular,aug,mon,3,4,2,success,92.201,-31.4,0.884,1,1
53,management,married,basic.9y,unknown,yes,no,telephone,jun,fri,7,-1,0,nonexistent,94.465,-41.8,4.959,0,0
31,technician,married,high.school,unknown,no,no,telephone,may,tue,3,-1,0,nonexistent,92.893,-46.2,1.291,0,0
44,admin.,married,basic.9y,unknown,yes,yes,cellular,aug,thu,6,-1,0,nonexistent,93.444,-36.1,4.962,0,1
23,blue-collar,single,basic.4y,no,yes,no,cellular,may,fri,2,-1,0,nonexistent,92.893,-46.2,1.25,0,1
52,retired,single,basic.9y,no,no,no,telephone,jul,thu,6,-1,0,nonexistent,93.918,-42.7,4.962,0,0
31,technician,married,professional.course,no,unknown,unknown,telephone,may,wed,4,-1,0,nonexistent,93.994,-36.4,4.858,0,0
39,management,married,high.school,no,no,no,cellular,nov,fri,2,-1,1,failure,93.2,-42.0,4.021,0,0
36,admin.,married,university.degree,no,yes,no,telephone,jun,fri,3,-1,0,nonexistent,94.465,-41.8,4.959,0,0
37,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,fri,2,-1,0,nonexistent,94.465,-41.8,4.947,0,0
56,services,divorced,basic.4y,no,no,no,telephone,jun,mon,3,-1,0,nonexistent,94.465,-41.8,4.96,0,0
31,admin.,single,university.degree,no,yes,yes,cellular,aug,mon,4,-1,0,nonexistent,93.444,-36.1,4.963,0,0
36,management,single,university.degree,no,no,no,telephone,jun,mon,6,-1,0,nonexistent,94.465,-41.8,4.96,0,0
50,admin.,married,professional.course,unknown,yes,no,cellular,apr,fri,1,-1,0,nonexistent,93.075,-47.1,1.479,0,0
37,unemployed,married,professional.course,unknown,no,no,telephone,jun,wed,16,-1,0,nonexistent,94.465,-41.8,4.864,0,0
30,technician,single,university.degree,no,no,yes,cellular,aug,fri,6,-1,0,nonexistent,93.444,-36.1,4.964,0,0
45,blue-collar,married,basic.9y,no,yes,no,cellular,apr,fri,1,-1,0,nonexistent,93.075,-47.1,1.405,0,0
28,blue-collar,married,basic.6y,unknown,no,no,cellular,may,mon,2,-1,1,failure,92.893,-46.2,1.299,0,0
23,admin.,single,university.degree,no,no,yes,cellular,jul,fri,2,-1,1,failure,94.215,-40.3,0.896,0,0
32,technician,single,university.degree,no,no,no,cellular,aug,thu,1,-1,0,nonexistent,93.444,-36.1,4.968,0,0
29,admin.,single,professional.course,no,yes,no,cellular,apr,thu,2,-1,0,nonexistent,93.075,-47.1,1.365,0,0
42,technician,married,high.school,no,yes,no,cellular,apr,thu,1,-1,0,nonexistent,93.075,-47.1,1.406,0,1
40,technician,married,professional.course,no,no,no,cellular,aug,mon,7,-1,0,nonexistent,93.444,-36.1,4.963,0,0
28,admin.,married,high.school,no,no,no,telephone,jun,tue,1,-1,0,nonexistent,94.465,-41.8,4.961,0,0
58,admin.,married,university.degree,no,no,no,cellular,may,mon,1,-1,0,nonexistent,92.893,-46.2,1.244,0,0
50,blue-collar,married,basic.9y,no,yes,yes,cellular,aug,thu,5,-1,0,nonexistent,93.444,-36.1,4.962,0,0
48,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,wed,1,-1,0,nonexistent,92.893,-46.2,1.334,0,0
54,retired,married,professional.course,unknown,no,no,cellular,aug,tue,1,-1,0,nonexistent,92.201,-31.4,0.838,0,0
52,entrepreneur,married,university.degree,unknown,no,yes,telephone,jun,fri,3,-1,0,nonexistent,94.465,-41.8,4.967,0,0
33,technician,married,professional.course,no,yes,yes,cellular,jul,tue,5,-1,0,nonexistent,93.918,-42.7,4.961,0,0
47,admin.,married,university.degree,no,no,no,telephone,may,mon,2,-1,0,nonexistent,93.994,-36.4,4.858,0,0
48,management,divorced,university.degree,unknown,no,no,cellular,may,thu,2,-1,1,failure,92.893,-46.2,1.266,0,0
50,entrepreneur,married,university.degree,no,yes,no,cellular,nov,wed,2,-1,1,failure,93.2,-42.0,4.12,0,0
48,admin.,married,unknown,unknown,no,no,cellular,nov,tue,1,-1,0,nonexistent,93.2,-42.0,4.153,0,0
52,management,divorced,university.degree,no,no,no,telephone,jun,thu,1,-1,0,nonexistent,94.465,-41.8,4.866,0,0
34,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,2,-1,0,nonexistent,93.994,-36.4,4.858,0,0
27,unemployed,single,basic.9y,no,no,no,cellular,apr,fri,2,-1,1,failure,93.075,-47.1,1.405,0,0
44,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,mon,2,-1,1,failure,92.893,-46.2,1.299,0,0
41,technician,married,unknown,unknown,yes,yes,cellular,aug,thu,1,-1,0,nonexistent,93.444,-36.1,4.968,0,0
52,blue-collar,divorced,basic.4y,unknown,no,no,cellular,jul,thu,6,-1,0,nonexistent,93.918,-42.7,4.958,0,0
26,admin.,single,university.degree,no,no,no,telephone,may,tue,2,-1,0,nonexistent,93.994,-36.4,4.857,0,0
42,admin.,married,unknown,no,no,no,cellular,apr,fri,1,-1,1,failure,93.075,-47.1,1.405,0,1
57,retired,married,basic.4y,unknown,no,no,telephone,jun,wed,1,-1,0,nonexistent,94.465,-41.8,4.959,0,0
40,admin.,divorced,professional.course,no,no,no,telephone,may,wed,1,-1,0,nonexistent,93.994,-36.4,4.858,0,0
48,blue-collar,married,basic.9y,unknown,no,no,cellular,aug,tue,3,-1,0,nonexistent,93.444,-36.1,4.966,0,0
35,blue-collar,single,basic.4y,no,yes,no,telephone,jun,thu,1,-1,0,nonexistent,94.465,-41.8,4.961,0,0
76,management,married,unknown,no,no,no,cellular,sep,fri,1,-1,0,nonexistent,92.379,-29.8,0.803,0,1
45,unknown,married,unknown,no,no,yes,telephone,may,thu,1,-1,0,nonexistent,93.994,-36.4,4.86,0,0
32,technician,single,university.degree,no,no,no,cellular,apr,tue,1,-1,0,nonexistent,93.075,-47.1,1.453,0,0
40,admin.,divorced,university.degree,no,yes,no,cellular,jul,tue,3,-1,0,nonexistent,93.918,-42.7,4.961,0,0
46,unemployed,married,basic.9y,unknown,no,no,telephone,jun,tue,7,-1,0,nonexistent,94.465,-41.8,4.864,0,0
31,management,married,university.degree,no,yes,no,telephone,jun,fri,5,-1,0,nonexistent,94.465,-41.8,4.967,0,0
45,self-employed,single,professional.course,unknown,yes,no,telephone,may,wed,4,-1,0,nonexistent,93.994,-36.4,4.859,0,0
54,blue-collar,married,basic.4y,unknown,no,yes,cellular,aug,thu,3,-1,0,nonexistent,93.444,-36.1,4.964,0,0
32,blue-collar,married,basic.4y,no,yes,no,telephone,jun,tue,1,-1,1,failure,94.055,-39.8,0.761,0,0
34,admin.,married,university.degree,no,no,yes,cellular,jul,tue,2,-1,0,nonexistent,93.918,-42.7,4.962,0,0
48,admin.,married,high.school,unknown,yes,no,telephone,jun,mon,3,-1,0,nonexistent,94.465,-41.8,4.961,0,0
70,housemaid,married,basic.4y,no,no,no,cellular,mar,thu,1,-1,1,failure,92.843,-50.0,1.538,0,0
39,services,single,high.school,no,no,no,telephone,jun,fri,10,-1,0,nonexistent,94.465,-41.8,4.959,0,0
38,blue-collar,single,basic.9y,unknown,yes,no,cellular,may,fri,1,-1,0,nonexistent,92.893,-46.2,1.313,0,0
42,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,1,-1,0,nonexistent,93.994,-36.4,4.857,0,0
31,admin.,single,university.degree,no,yes,yes,cellular,jul,thu,1,-1,0,nonexistent,93.918,-42.7,4.963,0,0
28,admin.,single,university.degree,no,no,no,cellular,oct,thu,2,-1,0,nonexistent,92.431,-26.9,0.722,0,0
26,blue-collar,single,basic.6y,no,no,no,telephone,jun,wed,1,-1,0,nonexistent,94.465,-41.8,4.864,0,0
44,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,1,-1,0,nonexistent,93.994,-36.4,4.857,0,0
74,retired,married,professional.course,no,no,no,cellular,aug,wed,1,-1,0,nonexistent,92.201,-31.4,0.879,0,0
62,entrepreneur,married,university.degree,no,no,no,cellular,sep,tue,1,-1,1,failure,92.379,-29.8,0.77,0,1
37,self-employed,married,basic.9y,unknown,yes,no,telephone,jun,tue,6,-1,0,nonexistent,94.465,-41.8,4.864,0,0
55,housemaid,married,professional.course,no,yes,yes,telephone,may,fri,1,-1,0,nonexistent,93.994,-36.4,4.857,0,0
45,housemaid,married,professional.course,unknown,yes,no,telephone,jun,thu,2,-1,0,nonexistent,94.465,-41.8,4.961,0,0
54,self-employed,married,professional.course,unknown,yes,no,cellular,aug,wed,1,-1,0,nonexistent,93.444,-36.1,4.964,0,0
30,technician,married,basic.9y,no,no,yes,cellular,jul,thu,2,-1,0,nonexistent,93.918,-42.7,4.958,0,0
44,admin.,married,basic.9y,no,yes,no,cellular,may,mon,1,-1,2,failure,92.893,-46.2,1.299,0,0
70,admin.,married,basic.4y,no,no,no,cellular,sep,tue,1,3,1,success,92.379,-29.8,0.77,1,0
58,technician,married,high.school,unknown,no,no,telephone,jun,thu,1,-1,0,nonexistent,94.465,-41.8,4.961,0,0
68,retired,married,basic.4y,no,yes,no,cellular,apr,fri,1,-1,0,nonexistent,93.749,-34.6,0.644,0,0
39,entrepreneur,divorced,basic.4y,no,no,no,cellular,jul,wed,1,-1,0,nonexistent,93.918,-42.7,4.962,0,0
29,blue-collar,single,basic.9y,unknown,no,no,cellular,apr,fri,1,-1,2,failure,93.075,-47.1,1.405,0,0
43,services,married,basic.6y,no,unknown,unknown,cellular,may,tue,2,-1,0,nonexistent,92.893,-46.2,1.291,0,0
42,admin.,married,basic.9y,unknown,yes,no,cellular,may,fri,2,-1,1,failure,92.893,-46.2,1.25,0,0
41,blue-collar,married,basic.9y,no,no,yes,telephone,may,thu,5,-1,0,nonexistent,93.994,-36.4,4.855,0,0
36,admin.,married,university.degree,no,no,no,cellular,oct,fri,1,-1,2,failure,92.431,-26.9,0.739,0,1
47,blue-collar,married,basic.9y,no,yes,yes,cellular,nov,tue,3,-1,0,nonexistent,93.2,-42.0,4.153,0,0
32,services,married,high.school,no,no,no,telephone,may,tue,3,-1,0,nonexistent,93.994,-36.4,4.857,0,0
37,blue-collar,married,basic.4y,no,no,no,cellular,apr,fri,2,-1,0,nonexistent,93.075,-47.1,1.405,0,0
48,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,3,-1,0,nonexistent,93.918,-42.7,4.96,0,0
58,retired,married,university.degree,no,yes,no,cellular,aug,tue,1,-1,0,nonexistent,93.444,-36.1,4.966,0,0
38,entrepreneur,single,university.degree,no,no,no,cellular,aug,mon,2,-1,0,nonexistent,93.444,-36.1,4.963,0,0
30,admin.,single,university.degree,no,no,no,cellular,nov,tue,1,-1,0,nonexistent,93.2,-42.0,4.153,0,0
33,services,married,high.school,no,yes,no,cellular,may,fri,2,-1,0,nonexistent,92.893,-46.2,1.25,0,0
37,admin.,married,university.degree,no,yes,no,telephone,may,thu,12,-1,0,nonexistent,93.994,-36.4,4.86,0,0
26,entrepreneur,married,professional.course,no,no,no,telephone,may,fri,10,-1,2,failure,92.893,-46.2,1.25,0,0
39,self-employed,married,university.degree,no,no,no,cellular,jul,fri,3,-1,0,nonexistent,93.918,-42.7,4.962,0,0
27,technician,single,university.degree,no,yes,no,telephone,jun,mon,2,-1,0,nonexistent,94.465,-41.8,4.947,0,0
33,admin.,married,high.school,no,no,yes,cellular,aug,tue,1,6,2,success,92.201,-31.4,0.859,1,0
31,services,married,high.school,no,no,yes,cellular,nov,thu,1,-1,0,nonexistent,93.2,-42.0,4.076,0,0
29,technician,married,university.degree,no,yes,no,cellular,jul,wed,5,-1,0,nonexistent,93.918,-42.7,4.963,0,0
40,admin.,married,university.degree,no,no,no,telephone,jun,wed,29,-1,0,nonexistent,94.465,-41.8,4.962,0,0
47,blue-collar,married,professional.course,no,no,yes,cellular,jun,tue,2,-1,0,nonexistent,92.963,-40.8,1.206,0,0
48,admin.,married,university.degree,unknown,yes,no,cellular,aug,tue,3,-1,0,nonexistent,93.444,-36.1,4.968,0,1
52,technician,married,basic.9y,no,yes,no,cellular,nov,fri,1,-1,0,nonexistent,93.2,-42.0,4.021,0,0
36,admin.,single,unknown,no,yes,no,cellular,mar,thu,1,-1,0,nonexistent,93.369,-34.8,0.635,0,0
36,technician,single,professional.course,no,no,no,telephone,jul,thu,7,-1,0,nonexistent,93.918,-42.7,4.968,0,0
32,services,married,high.school,no,no,no,cellular,apr,mon,3,-1,0,nonexistent,93.075,-47.1,1.405,0,0
35,blue-collar,married,basic.4y,no,no,no,telephone,may,thu,1,-1,0,nonexistent,93.994,-36.4,4.86,0,0
31,admin.,divorced,high.school,no,no,no,telephone,may,tue,3,-1,0,nonexistent,93.994,-36.4,4.857,0,0
33,admin.,married,high.school,no,yes,yes,cellular,may,mon,1,-1,1,failure,92.893,-46.2,1.299,0,0
45,management,single,basic.9y,no,yes,no,telephone,jun,fri,2,-1,0,nonexistent,94.465,-41.8,4.959,0,0
26,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,3,-1,0,nonexistent,93.918,-42.7,4.961,0,0
33,self-employed,married,basic.6y,no,no,no,telephone,may,fri,5,-1,0,nonexistent,93.994,-36.4,4.864,0,0
30,blue-collar,married,basic.4y,no,no,no,cellular,apr,mon,5,-1,0,nonexistent,93.075,-47.1,1.405,0,0
43,entrepreneur,divorced,professional.course,no,no,yes,cellular,jul,fri,2,-1,0,nonexistent,93.918,-42.7,4.963,0,0
53,technician,married,professional.course,unknown,no,yes,cellular,jul,fri,3,-1,0,nonexistent,93.918,-42.7,4.962,0,0
30,admin.,married,university.degree,no,yes,no,cellular,may,fri,1,-1,1,failure,92.893,-46.2,1.259,0,0
44,admin.,married,unknown,no,no,no,telephone,may,tue,2,-1,0,nonexistent,93.994,-36.4,4.857,0,0
31,admin.,married,university.degree,no,no,no,cellular,aug,mon,4,-1,0,nonexistent,93.444,-36.1,4.965,0,0
52,admin.,married,university.degree,no,no,no,cellular,aug,mon,1,-1,0,nonexistent,92.201,-31.4,0.884,0,0
42,admin.,married,university.degree,no,yes,no,telephone,may,thu,3,-1,0,nonexistent,93.994,-36.4,4.855,0,0
58,retired,married,high.school,no,yes,no,cellular,jul,thu,1,-1,0,nonexistent,93.918,-42.7,4.958,0,0
32,services,single,high.school,no,no,yes,cellular,jul,thu,2,-1,0,nonexistent,93.918,-42.7,4.968,0,0
34,self-employed,single,university.degree,no,yes,no,telephone,apr,tue,6,-1,0,nonexistent,93.075,-47.1,1.423,0,0
64,retired,married,university.degree,no,no,no,cellular,mar,fri,1,3,2,success,93.369,-34.8,0.653,1,0
35,admin.,married,professional.course,no,yes,no,cellular,may,wed,1,-1,1,failure,92.893,-46.2,1.334,0,0
31,technician,married,university.degree,no,yes,no,cellular,aug,thu,4,-1,0,nonexistent,93.444,-36.1,4.964,0,0
35,admin.,married,high.school,unknown,no,no,cellular,jul,mon,3,-1,0,nonexistent,93.918,-42.7,4.962,0,0
34,management,married,high.school,no,no,no,telephone,may,mon,4,-1,0,nonexistent,93.994,-36.4,4.858,0,0
50,services,divorced,unknown,no,no,no,telephone,jun,fri,3,-1,0,nonexistent,94.465,-41.8,4.959,0,0
51,admin.,married,high.school,unknown,no,no,cellular,may,fri,2,-1,0,nonexistent,92.893,-46.2,1.313,0,0
52,retired,married,basic.4y,unknown,yes,no,cellular,jul,fri,1,-1,0,nonexistent,93.918,-42.7,4.957,0,0
38,admin.,married,university.degree,no,no,no,telephone,jun,thu,2,-1,0,nonexistent,94.465,-41.8,4.958,0,0
46,housemaid,married,basic.4y,unknown,no,no,cellular,jul,fri,2,-1,0,nonexistent,93.918,-42.7,4.963,0,1
36,admin.,married,university.degree,no,yes,no,cellular,jul,tue,3,-1,0,nonexistent,93.918,-42.7,4.962,0,0
47,admin.,single,basic.9y,no,yes,yes,cellular,jul,thu,2,6,1,success,94.215,-40.3,0.846,1,1
48,blue-collar,married,basic.6y,no,yes,no,cellular,aug,thu,1,-1,0,nonexistent,93.444,-36.1,4.963,0,0
29,entrepreneur,married,university.degree,no,no,no,cellular,nov,thu,5,-1,0,nonexistent,93.2,-42.0,4.076,0,0
38,admin.,single,university.degree,unknown,yes,yes,cellular,aug,wed,5,-1,0,nonexistent,93.444,-36.1,4.964,0,0
28,self-employed,single,university.degree,no,no,no,cellular,may,wed,2,-1,0,nonexistent,92.893,-46.2,1.334,0,1
23,admin.,single,professional.course,no,yes,no,cellular,jul,wed,1,-1,0,nonexistent,93.918,-42.7,4.963,0,0
41,management,divorced,high.school,no,no,no,cellular,may,mon,1,-1,1,failure,92.893,-46.2,1.244,0,0
51,management,divorced,university.degree,no,no,no,cellular,may,wed,2,-1,0,nonexistent,92.893,-46.2,1.334,0,0
36,admin.,married,university.degree,no,no,no,cellular,aug,mon,2,-1,0,nonexistent,93.444,-36.1,4.965,0,1
33,services,married,high.school,no,yes,no,cellular,jul,fri,1,-1,0,nonexistent,93.918,-42.7,4.962,0,0
44,student,single,unknown,unknown,no,yes,cellular,jul,tue,6,-1,0,nonexistent,93.918,-42.7,4.961,0,0
42,admin.,married,university.degree,no,yes,no,cellular,may,mon,5,-1,0,nonexistent,92.893,-46.2,1.354,0,0
24,services,single,basic.9y,no,yes,yes,cellular,may,fri,4,-1,1,failure,92.893,-46.2,1.25,0,0
45,unemployed,married,basic.6y,unknown,no,no,cellular,jul,wed,3,-1,0,nonexistent,93.918,-42.7,4.957,0,0
34,entrepreneur,married,basic.6y,unknown,yes,no,cellular,nov,mon,1,-1,0,nonexistent,93.2,-42.0,4.191,0,1
41,admin.,married,high.school,no,no,yes,telephone,may,mon,1,-1,0,nonexistent,93.994,-36.4,4.857,0,0
31,blue-collar,married,basic.6y,unknown,no,no,cellular,may,wed,1,-1,0,nonexistent,92.893,-46.2,1.334,0,0
31,technician,single,university.degree,no,yes,no,cellular,jul,mon,2,-1,0,nonexistent,93.918,-42.7,4.962,0,0
57,housemaid,married,basic.4y,no,yes,no,cellular,aug,wed,1,-1,0,nonexistent,93.444,-36.1,4.964,0,0
75,retired,divorced,basic.4y,no,yes,yes,cellular,may,fri,3,-1,0,nonexistent,92.893,-46.2,1.259,0,0
46,technician,married,professional.course,no,yes,no,cellular,apr,thu,1,-1,1,failure,93.075,-47.1,1.41,0,0
30,admin.,married,high.school,no,no,no,cellular,jul,wed,1,-1,0,nonexistent,93.918,-42.7,4.957,0,0
37,blue-collar,married,basic.6y,unknown,no,yes,telephone,may,fri,5,-1,0,nonexistent,93.994,-36.4,4.857,0,0
42,unemployed,married,basic.4y,no,yes,no,telephone,may,fri,19,-1,0,nonexistent,93.994,-36.4,4.864,0,0
34,technician,married,professional.course,no,no,yes,telephone,jun,tue,1,-1,0,nonexistent,94.465,-41.8,4.864,0,0
38,blue-collar,married,basic.4y,unknown,no,no,cellular,may,thu,4,-1,0,nonexistent,92.893,-46.2,1.266,0,0
35,management,married,university.degree,no,unknown,unknown,cellular,aug,wed,1,-1,0,nonexistent,93.444,-36.1,4.964,0,0
33,unemployed,married,university.degree,no,yes,yes,cellular,aug,fri,1,-1,0,nonexistent,93.444,-36.1,4.964,0,0
37,blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,wed,1,-1,0,nonexistent,93.918,-42.7,4.962,0,0
31,blue-collar,married,basic.9y,no,yes,no,telephone,may,fri,7,-1,1,failure,92.893,-46.2,1.25,0,0
58,entrepreneur,married,basic.4y,no,yes,no,telephone,may,mon,2,-1,0,nonexistent,93.994,-36.4,4.857,0,0
38,blue-collar,single,basic.6y,no,no,no,telephone,jul,thu,4,-1,0,nonexistent,93.918,-42.7,4.968,0,0
27,management,single,university.degree,no,yes,no,cellular,jul,mon,2,-1,0,nonexistent,92.469,-33.6,0.944,0,1
35,admin.,married,university.degree,no,yes,no,telephone,sep,wed,1,-1,0,nonexistent,94.199,-37.5,0.876,0,0
33,technician,divorced,professional.course,no,yes,yes,cellular,may,tue,4,-1,0,nonexistent,92.893,-46.2,1.291,0,0
47,management,married,university.degree,no,yes,no,cellular,jul,wed,1,-1,0,nonexistent,92.469,-33.6,1.029,0,0
31,technician,single,university.degree,no,no,no,cellular,jul,fri,1,-1,0,nonexistent,93.918,-42.7,4.957,0,0
31,admin.,divorced,high.school,no,no,no,telephone,jun,fri,3,-1,0,nonexistent,94.465,-41.8,4.959,0,0
59,management,married,basic.4y,unknown,unknown,unknown,telephone,may,tue,1,-1,0,nonexistent,93.994,-36.4,4.857,0,0
36,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,fri,2,-1,0,nonexistent,93.994,-36.4,4.864,0,0
26,technician,single,university.degree,no,yes,yes,cellular,may,fri,3,-1,0,nonexistent,92.893,-46.2,1.25,0,0
50,self-employed,married,basic.9y,no,yes,no,cellular,aug,thu,1,-1,0,nonexistent,93.444,-36.1,4.964,0,0
33,management,married,university.degree,no,no,no,cellular,jul,thu,7,-1,0,nonexistent,93.918,-42.7,4.958,0,0
34,management,married,university.degree,no,yes,no,cellular,nov,fri,1,-1,0,nonexistent,93.2,-42.0,4.021,0,0
